제목,인원,참가비,기관명,세부정보,주소,위도,경도
도자기체험,120,"12,000원",고도도예,흙을만지며 도자기 체험을 하며 집중력과 창의력 협동심 감정조절등을 키울 수 있다사전 준비도자기관련 이미지자료 도자기 실물 체험도구 앞치마 체험장에서준비주요내용도입도입 부분에 진로체험 프로그램 운영 전 안전 및 주의사항에 대한 교육필히 실시기재본활동머그컵시리얼그릇캐릭터접시 만들기백자토청자토 산청토 소요시간 시간시간분마무리작업마무리확인 체험도구정리 분사후활동도자기체험 사후발표단체사진사진촬영등 친교를 나누고 진로체험을 경험할 수 있다흙을만지며 도자기 체험을 하며 집중력과 창의력 협동심 감정조절등을 키울 수 있다사전 준비도자기관련 이미지자료 도자기 실물 체험도구 앞치마 체험장에서준비주요내용도입도입 부분에 진로체험 프로그램 운영 전 안전 및 주의사항에 대한 교육필히 실시기재본활동머그컵시리얼그릇캐릭터접시 만들기백자토청자토 산청토 소요시간 시간시간분마무리작업마무리확인 체험도구정리 분사후활동도자기체험 사후발표단체사진사진촬영등 친교를 나누고 진로체험을 경험할 수 있다흙을만지며 도자기 체험을 하며 집중력과 창의력 협동심 감정조절등을 키울 수 있다사전 준비도자기관련 이미지자료 도자기 실물 체험도구 앞치마 체험장에서준비주요내용도입도입 부분에 진로체험 프로그램 운영 전 안전 및 주의사항에 대한 교육필히 실시기재본활동머그컵시리얼그릇캐릭터접시 만들기백자토청자토 산청토 소요시간 시간시간분마무리작업마무리확인 체험도구정리사후활동도자기체험 사후발표단체사진사진촬영등 친교를 나누고 진로체험을 경험할 수 있다,경북 경주시 밝은마을길 19-21,35.8556705,129.2248811
도전 세계사,10,"5,000원",상주시청소년수련관,도전 세계사 인류사회의 발전과정 이해 문화의 다양성 이해 통합적 사고,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전 역사탐험대,10,"5,000원",상주시청소년수련관,도전 역사탐험대 한국사와 동시대 세계역사 배우기 만들기를 통한 흥미 키우기,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전 한국사,10,"5,000원",상주시청소년수련관,도전 한국사 한국사와 동시대 세계역사 배우기 만들기를 통한 흥미 키우기 한국사능력시험 대비 역사 심화,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전_세계사,10,"5,000원",상주시청소년수련관,인류사회의 발전과정 인류사회의 발전과정 이해 문화의 다양성 이해 통합적 사고,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전_역사탐험대,10,"5,000원",상주시청소년수련관,한국사와 동시대 세계역사 배우기 한국사와 동시대 세계역사 배우기 만들기를 통한 흥미 키우기,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전_한국사,10,"5,000원",상주시청소년수련관,한국사와 동시대 세계역사 배우기 한국사와 동시대 세계역사 배우기 만들기를 통한 흥미 키우기 한국사능력시험 대비 역사심화,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전-세계사,10,"5,000원",상주시청소년수련관,인류사회의 발전과정 이해 인류사회의 발전과정 이해문화의 다양성 이해 통합적 사고,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전-역사탐험대,10,"5,000원",상주시청소년수련관,한국사와 동시대 세계역사 배우기 한국사와 동시대 세계역사 배우기 만들기를 통한 흥미 키우기,경상북도 상주시 계산동 490,36.4281491,128.1707283
도전-한국사,10,"5,000원",상주시청소년수련관,한국사와 동시대 세계역사 배우기 한국사와 동시대 세계역사 배우기만들기를 통한 흥미 키우기한국사능력시험 대비역사 심화,경상북도 상주시 계산동 490,36.4281491,128.1707283
독도수비리더캠프,50,무료,국립청소년해양센터,해당사항 없음 친해지며 배우는 울릉도와 독도 알고싶은 독도 울릉도를 파해치다 독도탐방영상 등,경상북도 영덕군 영덕읍 영덕대게로 911-44,36.4685589,129.4350989
동물 카페 체험,30,"11,000원",동물카페 라미닥,프로그램 내용현장직업체험형동물 체험 및간식주기라쿤 미어캣 캥거루 고양이 강아지 여우 친칠라 다람쥐 캥거루쥐 박쥐 프레리독 팬더마우스거북이 닥터피쉬 체험닥터피쉬 및 발맛사지음료 마시기선생님은 입장료 및 음료 무료프로그램 일정 동물 체험 및 간식주기 닥터피쉬 및 발맛사지 음료 마시면서 간단한 대화 이후 개인시간선생님들은 공짜입니다편하게 전화주세요,경상북도 포항시 송도동 상공로257번길 35-3,36.0243057,129.3754219
두부 만들기,40,"10,000원",행화촌,프로그램 내용두부 만들기프로그램 일정 불린 콩을 물과 함께 갈기 물과 함께 간 콩물 끓이기 콩물이 다 끓으면 불을 끄고 약 분간 뜸들이기 콩물에서 비지 걸러내기 비지를 걸러낸 콩물에 간수 넣기 순두부를 두부 틀에 넣고 누르기 무거운 물건으로분간 두부 눌러 주기,경북 칠곡군 지천면 지천로 798-7,36.02841,128.48
드론 알고 날리자,10,무료,(주)규림(부설)지티에스드론교육원,차 산업의 중심 드론 활용 진로 및 직업 소개사전 준비드론관련 기사 찾아보기주요내용도입 참석자 확인 체험처 및 진행 강사 소개 진행 프로그램 소개 프로그램이 진행되는 장소에서의 안전 및 유의 사항 전달본활동 이론교육드론 관련 직업 및 진로방향 비행 일반이론 법규 및 규정 가 드론 역사 관련 직업 및 진로방향나 비행 일반이론 법규 및 규정 자격증 소개 년부터 세세 미만 자격증 신설 년부터 키로 이상 모형비행기 국가에 신고 실기교육 드론 비행 시뮬레이션교육원 시뮬레이션 교실 및 토니비행교육원 실내 비행실 교육원에서 낙동강 비행장 이동학교 차량 실습가 실습 안전교육나 면허자격 시험용 기체 조종 체험낙동강 비행장마무리체험 소감 나누기직업에 대해 새로 알게 된점 나와 직업의 적합성 드론에 대해 궁금했던 점사후활동드론 활용분야 알아보기차 산업의 중심 드론 활용 진로 및 직업 소개사전 준비드론관련 기사 찾아보고 어느 분야에서 활용되는지 알아보기주요내용도입 참석자 확인 체험처 및 진행 강사 소개 진행 프로그램 소개 프로그램이 진행되는 장소에서의 안전 및 유의 사항 전달본활동 이론교육드론 관련 직업 및 진로방향 비행 일반이론 법규 및 규정 가 드론 역사 관련 직업 및 진로방향나 대학의 관련학과 소개다 비행 일반이론 법규 및 규정 자격증 소개 세 이상 고위험키로 초과 모형비행기 자격증 취득 가능 년부터 국가 자격증 가지저위험 중위험 고위험로 구분 취득 가능 드론 비행 시뮬레이션교육원 시뮬레이션 교실 및 토니비행교육원 실내 비행실 교육원에서 낙동강 비행장 이동학교 차량 실습가 조종 안전교육나 면허자격 시험용 기체 조종 체험낙동강 비행장마무리체험 소감 나누기직업에 대해 새로 알게 된점 나와 직업의 적합성 드론에 대해 궁금했던 점사후활동드론관련 대학의 학과 외 진로방향 설정해 보기프로그램 내용학과체험형 학부모동참 가능단 학부모 이론교육 동참실습교육 참여 제한 시간 교육 교육원에서 실시 시간 교육 낙동강 비행장으로 이동차량을 학교 준비시 가능 이론교육체험 안전교육 드론 관련 직업 및 진로방향 비행일반이론 법규 및규정 드론 비행 시뮬레이션교육원 시뮬레이션 교실 토니비행교육원 실내 비행실 면허자격 시험용 또는 촬영용기체 조종 체험낙동강 비행장 프로그램 일정,경북 구미시 공단동 343-25,36.09788,128.38148
"드림콘서트(1) 글로벌리더 육성을 위한 진로캠프 - Dream Concert(인성교육, 자존감 높이기)",600,0원,글로벌인재개발연구원,프로그램 내용캠프형 적용 초중고등학교 꿈찾기 진로캠프 자유학기제 자유학년제 진로캠프 신입생 기타 진로캠프 목적 및 기대효과 목적 긍정적인 경험을 크게 하여 자신 스스로를 소중하게 여기는 자존감을 높임 타인을 배려하고 존중하며 공동체 속에서 행복한 삶을 영위할 수 있도록 함 꿈과 목표를 구체화하여 스스로 공부하고 싶은 의식을 고취하여 자기주도학습 능력 향상 큰 꿈을 꾸게 하여 세기 글로벌리더로 성장하게 하기 위함 기대효과 참여를 학습법을 통한 이론적인 강의가 아닌 실습 위주의 단계별 학습법으로 학생들이 자연스럽고 흥미롭게 교육 참여 긍정적인 마음의 태도 정립 자신의 내면의 잠재능력을 알아보고 현실에서 적용하는 방법 습득 성공한 사람들의 다양한 경험을 예로 학생 스스로가 나도 할 수 있다는 용기 배가 자신의 꿈을 찾아 이룰 수 있다는 확신을 가짐 꿈을 현실화 하는 중장기 목표설정으로 목표달성을 위한 스스로 공부하는 마음가짐 현재 나의 학교 가정 친구관계 등 모든 것에 감사와 행복한 마음가짐 프로그램 운영 방법 프로그램학습법으로 교육 수준의 단계별 향상으로 참여 학생들의 흥미와 적극적 참여 참여식 학습법으로 참가인원 전원 참여식 학습으로 운영 소수 개인별 코칭 및 적극적 실습 및 개인별 파워 스피치 프리젠테이션 실습 시간 및 기회 상호 격려하고 배려하는 리더의 모습을 보일 수 있도록 함 코로나 전염병 관리 수직 준수거리두기 비접촉 마스크 착용 환기 등 프로그램 세부 일정표 교시주 제목 표세부 내용비 고 차시 나의 역할 알기 긍정적인 마음의 태도를 정립한다 전체 속에서 나의 역할을 이해한다 학생으로서의 역할 중요성을 안다 공부하는 이유를 안다 실습을 통한 긍정적 마음 강화 태도의 중요성 인식하기 공부하는 이유 체험하기 코로나관련 예방 지침준수 강사 마스크 착용 거리두기 및 비접촉 강의 개인별 비접촉식 수업 등 자신 바로 알기 자신의 내 외적 모습을 안다 나의 가능성을 안다 나의 장점 긍정적인 모습을 안다 자신의 내면 분석하기 나의 순수존재 모습 찾기 나의 객관적 주관적 모습 찾기 차시 잠재능력 인식하기 잠재능력의 사용법을 안다 올바른 인성을 갖도록 한다 바른말 생각 행동 등 기억의 재구성자신감 향상 긍정적인 경험을 의도적으로 만들도록 한다 무한한 능력을 가지 자신 이해 내 외면을 일치시키기 성공본능 내면 자동제어시스템 구축하기 코로나관련 예방 지침준수 강사 마스크 착용 거리두기 및 비접촉 강의 개인별 비접촉식 수업 등 자존감 높이기 자신감 높이기 실패의 경험을 제거한다 성공의 경험을 강화한다 내면에 긍정의 힘을 강화한다 나를 힘들게 하는 제약요소 제거 나의 장점을 인식하고 강점의 강화 잠재 능력의 발휘를 위한 내면의 환경 가꾸기 교훈을 찾아 실천하기 차시 꿈을 꾸기 위한 전제조건 알기 꿈을 꾸기 위해 꿈의 전제 조건을 이해한다 진로 선택을 위한 준비 사례를 통한 핵심 역량 이해 나에 대한 믿음 장점을 살리고 큰 꿈을 꿔야하는 꿈의 조건 코로나관련 예방지침준수 강사 마스크 착용 거리두기 및 비접촉 강의 개인별 비접촉식 수업 등 차시 꿈을 이루는 꿈의 원리를 알고 꿈 찾기 나의 꿈을 찾는다 가슴속에 잠든 꿈을 부활 시킨다 사회를 향한 꿈의 가치를 안다 내가 인류 문화에 공헌함을 안다 성공한 사람들의 성공사례 내 꿈의 목록 작성 내 꿈 찾기 인류문화 발전에 기여하는 꿈 차시 꿈을 현실로 만들기 진로 설정하기 꿈을 이루기 위한 목표를 세운다 성공을 위한 구체적인 계획을 세운다 꿈을 이루기 위해 해야할 계획을세운다 진로 학업성취도 봉사활동 자격증 실습 등 계획수립 꿈을 이루기 위한 구체적 실천계획 작성 단기계획 장기계획 작성 전공계획 진로계획 작성 일일계획 작성 코로나관련 예방 지침준수 강사 마스크 착용 거리두기 및 비접촉 강의 개인별 비접촉식 수업 등 차시 매일 꿈을 느끼며 살기위한 마법의 도구 알기 꿈을 이루기 위한 실천방법을 안다 매일 꿈을 이루며 사는 느낌을 느낀다 모든 것에 감사하는 마음을 갖는다 우리집 가족 학교 등 자신에 대한 자부심 향상 감사의 마음 갖기가정 학교 일일 계획 실천 방법 단기 장기계획 실천 방법,경북 경산시 강변서로 111,35.820083,128.7311572
드림콘서트(2) 진로학습법캠프[진로캠프 & 자기주도학습법캠프] - Dream Concert,600,0원,글로벌인재개발연구원,꿈 목표설정 자기주도학습법 습득 각 교과목별 학습법사전 준비필기구 지참 각 학급 특별실 등 책상있는 곳 빔 음향주요내용도입코로나 안전교육 및 안전수칙 준수본활동 차시 나의 역할 알기 공부하는 이유 알기 긍정적인 마음의 태도를 정립한다 전체 속에서 나의 역할을 이해한다 학생으로서의 역할 중요성을 안다 공부하는 이유를 안다 실습을 통한 긍정적 마음 강화 태도의 중요성 인식하기 공부하는 이유 체험하기 꿈을 꾸기 위한 전제조건 알기 고등학교 진로진학 준비 꿈을 꾸기 위해 꿈의 전제 조건을 이해한다 고등학교 진학을 위한 준비를 한다 진로선택일반계고 특성화고 등 진로선택을 이해한다 사례를 통한 핵심 역량 이해 나에 대한 믿음 장점을 살리고 꿈을 이루기 위한 자존감자신감 향상 고등학교 진학을 위한 진로계획과 성적의 중요성을 이해한다 차시 차시 꿈을 현실로 만들기 진로 설정하기 꿈을 이루기 위한 목표를 세운다 성공을 위한 구체적인 계획을 세운다 꿈을 이루기 위해 해야할 계획 세운다 진로 학업성취도 봉사활동 자격증 실습 등 계획수립 꿈을 이루기 위한 구체적 실천계획 작성 단기계획 장기계획 작성 전공계획 진로계획 작성 일일계획 작성하기 고교학점제 이해하기 나의 꿈과 고교학점제 융합하기 고교학점제 진로목표를 만든다 나의 꿈과 고교학점제를 융합한다 일반계고등학교 진학 준비 특성화고등학교 진학 준비 차시 공부 방해 요소 찾기 주간학습 계획표 작성 시험전략 계획표 작성 공부 방해 요소를 스스로 찾아본다 공부 방해 요소를 제거 한다 방해 요소에 시간을 효과적인 시간으로 사용한다 주간학습 계획표 작성한다 시험전략 계획표 작성한다 공부 방해 요소 작성하기 스마트폰 잠 등 일일 계획 실천 방법 단기 장기계획 실천 방법 주간학습계획표 작성 방법 및 작성하기 시험 기간별 시험공부 준비 방법 차시 메모의 기술 적자생존 언어영역 학습 예습과 복습의 효과를 안다 성적 향상을 위한 메모의 기술 국어 공부 방법을 알고 적용한다 영어 공부 방법을 알고 적용한다 예습시간 예습 방법알기 복습시간 복습 방법 알기 문단 단락 요약법 지문유형분석 및 지문 읽기와 문제 파악하기 단어장 사용 단어 외우기 단어연상기법 듣기문제 풀이법 문장의 흐름 파악법과 핵심 단어 찾기 차시 수학 영역 학습법 나의 수준을 알아보는 방법을 안다 수학 공부 방법을 알고 적용한다 공부 잘하는 친구 따라 하기 휴식시간 분 기억력 향상하기 문제집 활용 수학 성적 올리기 비슷한 친구와 함께 공부하기마무리사후활동꿈 목표설정 자기주도학습법 습득 각 교과목별 학습법사전 준비필기구 지참 각 학급 특별실 등 책상있는 곳 빔 음향주요내용도입코로나 안전교육 및 안전수칙 준수본활동 차시 나의 역할 알기 공부하는 이유 알기 긍정적인 마음의 태도를 정립한다 전체 속에서 나의 역할을 이해한다 학생으로서의 역할 중요성을 안다 공부하는 이유를 안다 실습을 통한 긍정적 마음 강화 태도의 중요성 인식하기 공부하는 이유 체험하기 꿈을 꾸기 위한 전제조건 알기 대학교 진학 또는 취업 취업을 위한 진로선택 꿈을 꾸기 위해 꿈의 전제 조건을 이해한다 대학교 진학을 위한 준비를 한다 진로선택대학교 취업 등 진로선택을 이해한다일반계 특성화 사례를 통한 핵심 역량 이해 나에 대한 믿음 장점을 살리고 꿈을 이루기 위한 자존감자신감 향상 대학 진학을 위한 진로계획과 성적의 중요성을 이해한다 차시 꿈을 현실로 만들기 진로 설정하기 나의 꿈과 전공 융합 꿈을 이루기 위한 목표를 세운다 성공을 위한 구체적인 계획을 세운다 꿈을 이루기 위해 해야할 계획 세운다 진로 학업성취도 봉사활동 자격증 실습 등 계획수립 나의 꿈과 전공대학 취업 융합하기 꿈을 이루기 위한 실천계획 작성 단기계획 장기계획 작성 전공계획 진로계획 작성 일일계획 작성하기코로나 예방지 마스크 착용 거리두기 비접촉 강의 휴식시간 환기기타 차시 차시 공부 방해 요소 찾기 교과 성적 관리 모의고사 성적관리 주간학습 계획표 작성 시험전략 계획표 작성 공부 방해 요소를 스스로 찾아본다 공부 방해 요소를 제거 한다 수능과목 비수능 교과목 일반선택과목 전공선택과목 성적관리 주간학습 계획표 작성한다 시험전략 계획표 작성한다 공부 방해 요소 작성하기 스마트폰 잠 등 일일 계획 실천 방법 단기 장기계획 실천 방법 주간학습계획표 작성 방법 및 작성하기 시험 기간별 시험공부 준비 방법 차시 학습법 메모의 기술 적자생존 언어영역 학습 국어 영어 기본학습법을 안다 학교 수업시간의 중요성을 안다 필기 예습 복습법을 안다 예습과 복습의 효과를 안다 성적 향상을 위한 메모의 기술 국어 공부 방법을 알고 적용한다 영어 공부 방법을 알고 적용한다 예습시간 예습 방법알기 복습시간 복습 방법 알기 영어 지문유형분석 및 지문 읽기와 문제 파악하기 듣기문제 풀이법 단계별 기본개념부터 심화학습법 문장의 흐름 파악법과 핵심 단어 찾기 차시 수학 영역 학습법 나의 수준을 알아본다 수학 공부 방법을 알고 적용한다 단계 학습법 기본개념 심확학습법 공부 잘하는 친구 따라 하기 휴식시간 분 기억력 향상하기 문제집 활용 수학 성적 올리기 비슷한 친구와 함께 공부하기 단계 학습법 단계별 기본개념부터 심화학습법 알기마무리사후활동,경북 경산시 강변서로 111,35.820083,128.7311572
드림콘서트(3) 고교학점제 진로캠프 - 중학교 3학년 전환기 진로캠프,600,0원,글로벌인재개발연구원,고교학점제 이해 고등학교 진학을 앞둔 학생들에게 효과적인 진학 준비사전 준비교실 특별실 등 책상이 있는 곳 필기구 지참 영상 사용 음향확인주요내용도입코로나 안전교육 및 방역수칙 준수본활동 차시 고교학점제 이해 중학교 학년의 고교학점제 준비고교학점제를 이해한다고교학점제와 진로적성의 연관성을 안다중학교 학년 전환기에 알아야 할 고교학점제와 진로설정의 중요성을 안다고교학점제 고교학점제 이해 고교학점제 필요성 이해 고교학점제 운영 단계 이해 교과목 이수와 성적 고교학점제 학업계획서 차시 고교학점제와 진로적성 알기 진로적성검사 강점지능검사 고교학점제와 관련한 진로적성검사 방법을 안다 나의 객관적 주관적 모습을 안다 진로결정을 위한 강점지능을 안다 나의 강점지능을 알고 잘 하는 일 추천직업을 알아본다진로적성에 맞는 나의 내면 분석하기다중지능검사로 나의 강점지능 찾기나에게 맞는 직업분야 알기나에게 맞는 직업군 알기 차시 고교학점제 관련 직업분야를 알아보고 직업 알기 진로설정을 위한 전제조건 알기직업분야 진로선택을 이해한다나의 적성에 맞는 직업분야 알아본다진로 선택을 위한 준비진로설정을 위한 직업분야와 나의 꿈 연결하는 방법을 안다현재 직업분야 이해직업분야별 직업의 종류 알기직업을 나의 꿈과 연계하기나에 대한 믿음 장점을 살리고 큰 꿈을 선택하는 나의 꿈과 진로 연계하기 차시 꿈과 진로선택 고교학점제 준비 위한 진로 선택나의 꿈을 찾는다가슴속에 잠든 꿈을 부활시킨다사회를 향한 꿈의 가치를 안다내가 인류 문화에 공헌함을 안다나의 꿈과 직업 학교생활과 연계한다성공한 사람들의 성공사례내 꿈의 목록 작성내 꿈 찾기내 꿈과 관련한 직업분야 선택내 꿈과 관련한 학업계획 준비 차시 진로 선택과고교 이수과목 선택 진로계획 수립 꿈을 현실로 만들기 위한 학교생활 대학 전공에 따른 고교 선택과목 알아 본다 직업분야 진학을 위한 목표를 세운다 구체적인 계획을 세운다꿈을 이루기 위해 해야할 계획을 세운다 진로 학업성취도 교과목선택수상경력 봉사활동 자격증실습 등 계획수립단기계획 장기계획 작성전공계획 진로계획 작성학년별 학기별 이수과목 선택일일계획 작성 차시 지원학과 및진학계획에 따른 학업계획서 작성 고교학점제 수강신청 고 고 고 학업계획서를 안다 진로선택과 관련한 교과 계열을 안다 학업계획서를 이해하고 작성법을 안다 고교학점제 수강신청법을 안다진로진학과 연계한 과목선택기초교과 탐구 생활교양 등교과목에 대한 이해상경계열 사회과학계열 어학계열자연계열 간호보건계열 등 진로진학과 연계한 교과 계열 알기학업계획서 작성법을 안다고교학점제 수강신청 실습한다마무리참여학생 만족도 조사 및 소감문 작성사후활동결과보고서메일 책 제본 각 학급별 사진 고화질 만족도 조사 및 소감문 중학교 학년 전환기 진로캠프 고교학점제 준비를 위한 진로캠프 목적 및 기대효과 목적 긍정적인 경험을 크게 하여 자신 스스로를 소중하게 여기는 자존감을 높임 타인을 배려하고 존중하며 공동체 속에서 행복한 삶을 영위할 수 있도록 함 고등학교 진학을 앞둔 학생들에게 효과적인 진학 준비를 할 수 있도록 함 고교학점제 준비를 위하여 자신에게 강점이 있는 직업들을 알 수 있게 함 꿈과 목표를 구체화하여 스스로 진로선택을 할 수 있도록 함 진로 선택 후 고교학점제 이수학점 관리를 위한 학업계획서를 작성 할 수 있도록 함 큰 꿈을 꾸게 하여 세기 글로벌리더로 성장하게 하기 위함 기대효과 참여를 학습법을 통한 이론적인 강의가 아닌 실습 위주의 단계별 학습법으로 학생들이 자연스럽고 흥미롭게 교육 참여 자신의 진로를 스스로 결정하고 고교학점제에 대한 이해도가 높아짐 자신의 내면의 잠재능력을 알아보고 자신에게 강점이 되는 직업들을 찾을 수 있음 고등학교 진학에 대한 부담을 덜고 자신감을 가지고 스스로 계획하고 노력할 수 있음 긍정적인 마음의 태도 정립 꿈을 현실화 하는 중장기 목표설정으로 목표달성을 위한 스스로 공부하는 마음가짐 현재 나의 학교 가정 친구관계 등 모든 것에 감사와 행복한 마음가짐 프로그램 운영 방법 프로그램학습법으로 교육 수준의 단계별 향상으로 참여 학생들의 흥미와 적극적 참여 참여식 학습법으로 참가인원 전원 참여식 학습으로 운영 소수 개인별 코칭 및 적극적 실습 및 개인별 파워 스피치 프리젠테이션 실습 시간 및 기회 상호 격려하고 배려하는 리더의 모습을 보일 수 있도록 함 코로나 전염병 관리 수직 준수거리두기 비접촉 마스크 착용 환기 등 고교학점제 진로캠프 프로그램 세부 일정표 교시주 제목 표세부 내용비 고 차시 고교학점제 이해 중학교 학년의 고교학점제 준비고교학점제를 이해한다고교학점제와 진로적성의 연관성을 안다중학교 학년 전환기에 알아야 할 고교학점제와 진로설정의 중요성을 안다 고교학점제 고교학점제 이해 고교학점제 필요성 이해 고교학점제 운영 단계 이해 교과목 이수와 성적 고교학점제 학업계획서 코로나관련 예방 지침준수 강사 마스크 착용 거리두기 및 비접촉 강의 개인별 비접촉식 수업 등 차시 고교학점제와 진로적성 알기 진로적성검사 강점지능검사 고교학점제와 관련한 진로적성검사 방법을 안다 나의 객관적 주관적 모습을 안다 진로결정을 위한 강점지능을 안다 나의 강점지능을 알고 잘 하는 일 추천직업을 알아본다 진로적성에 맞는 나의 내면 분석하기 다중지능검사로 나의 강점지능 찾기 나에게 맞는 직업분야 알기 나에게 맞는 직업군 알기 차시 고교학점제 관련 직업분야를 알아 보고 직업 알기 진로설정을 위한 전제조건 알기직업분야 진로선택을 이해한다나의 적성에 맞는 직업분야 알아본다진로 선택을 위한 준비진로설정을 위한 직업분야와 나의 꿈 연결하는 방법을 안다 현재 직업분야 이해 직업분야별 직업의 종류 알기 직업을 나의 꿈과 연계하기 나에 대한 믿음 장점을 살리고 큰 꿈을 선택하는 나의 꿈과 진로 연계하기 코로나관련 예방 지침준수 강사 마스크 착용 거리두기 및 비접촉 강의 개인별 비접촉식 수업 등 차시 꿈과 진로선택 고교학점제 준비 위한 진로 선택나의 꿈을 찾는다가슴속에 잠든 꿈을 부활시킨다사회를 향한 꿈의 가치를 안다내가 인류 문화에 공헌함을 안다나의 꿈과 직업 학교생활과 연계한다 성공한 사람들의 성공사례 내 꿈의 목록 작성 내 꿈 찾기 내 꿈과 관련한 직업분야 선택 내 꿈과 관련한 학업계획 준비 차시 진로 선택과 고교 이수과목 선택 진로계획 수립 꿈을 현실로 만들기 위한 학교생활 대학 전공에 따른 고교 선택과목 알아 본다 직업분야 진학을 위한 목표를 세운다 구체적인 계획을 세운다꿈을 이루기 위해 해야할 계획을 세운다 진로 학업성취도 교과목선택 수상경력 봉사활동 자격증 실습 등 계획수립 단기계획 장기계획 작성 전공계획 진로계획 작성 학년별 학기별 이수과목 선택 일일계획 작성 코로나관련 예방 지침준수 강사 마스크 착용 거리두기 및 비접촉 강의 개인별 비접촉식 수업 등 차시 지원학과 및 진학계획에 따른 학업계획서 작성 고교학점제 수강신청 고 고 고 학업계획서를 안다 진로선택과 관련한 교과 계열을 안다 학업계획서를 이해하고 작성법을 안다 고교학점제 수강신청법을 안다 진로진학과 연계한 과목선택 기초교과 탐구 생활교양 등 교과목에 대한 이해 상경계열 사회과학계열 어학계열 자연계열 간호보건계열 등 진로진학과 연계한 교과 계열 알기 학업계획서 작성법을 안다고교학점제 수강신청 실습한다,경북 경산시 강변서로 111,35.820083,128.7311572
"딸기, 네가 궁금해",30,"20,000원",농업회사법인 주식회사 베리벨벳,딸기의 종류와 역사를 알고 식물에 한살이를 알아본다사전 준비시설원예와 딸기에 대해 알아본다주요내용도입 참석자 확인 및 만남 첫인사체험처 및 진행강사 소개교육활동 및 목표안내 체험준비하기 프로그램 진행되는 장소에 주의사항 안전수칙 화장실 식수안내본활동딸기에 대해 알아보기 딸기를 따 본 경험과 드낌 표현하기딸기에 구조알아보기마무리교육활동 정리및 소감나누기만족도 조사 및 정리정돈사진촬영 배웅 및 작별인사사후활동딸기를 활용한 디저트 만들어 본다딸기의 특징을 알고 딸기를 활용한 먹거리를 만들 수 있다사전 준비딸기로 만든 음식 알아보기주요내용도입참석자확인 및 만남 첫인사체험처 및 진행강사 소개교육활동 및 목표안내 체험준비하기프로그램 진행되는 장소에 주의사항 안전수칙 화장실 식수안내본활동딸기의 성장과저에 대해 이해하기딸기의 구조알기뿌리줄기잎의 구조건강한 먹거리 만들기마무리교육활동 정리 및 소감나누기만족도 조사 및 정리정돈 사진촬영 및 매웅 작별인사사후활동딸기 음료만들어 보기딸기 수확체험을 통해 결실의 기쁨을 만끽하고 기다림의 가치와 농부의 수고로움을 안다사전 준비농업의 미래산업에 관련해 알아본다스마트팜 이해하기주요내용도입 참석자 환인 만남 첫인사 체험처 및 진행강사 소개 교육활동 및 목표안내 체험준비하기 프로그램 진행되는 장소에 주의사항 안전수칙 화장실 식수안내본활동딸기의 성장과정 이해하기 딸기가 자라고 열매를 맺기까지 필요한 것들에 대해 알아보기 직접 수확해보기 기후변화에 대하여 식물에 미치는 영향 알아보기마무리 교육활동 정리 및 소감 나누기 만족도 조사 및 정리정돈 사진촬영및 배웅 작별인사사후활동시설원예의 기후변화에 환경요인에 대해 관찰하기수확체험시 지도 선생님에 안내에 따라 먼저 딸기를따서 먹고 꼭지는 종이컵에 버린다기에따서 담고 뚜껑을 닫아 가져간다,경북 영주시 이산면 신천로 321-12,36.81682,128.68757
딸기수확체험,30,"20,000원",농업회사법인 주식회사 베리벨벳,프로그램 내용현장견학형 처음 도착시 작업동에서 딸기에 대한 설명과 주의사항을 듣고종이컵을 받아 딸기를 마음껏 따먹는 체험을 하는데 그전에 딸기를 따는 요령에 대하여 설명을 듣습니다 딸기를 충분히 따 먹은후 팩을 받아 딸기를 담고 뚜껑을 덮어 가져나옵니다 더운 여름철 오후에는 농장앞 작업동에서 딸기 슬러쉬를 한잔씩 제공받을수 있습니다프로그램 일정 딸기따기 체험 딸기따기체험 딸기따기 체험 딸기따기 체험,경북 영주시 이산면 신천로 321-12,36.81682,128.68757
뛰는 놈 위에 날아오른 드론,15,무료,영천시청소년수련관,언제까지 유행을 따라갈 것인가 한번 앞서나가 보자구,경상북도 영천시 교촌동 336-2 최무선관,35.96797,128.92488
띵가띵가 통기타(통기타 배우기),10,무료,영천시청소년수련관,통기타를 이용하여 다양한 코드 및 비트를 익혀 노래 한곡 연주하기,경상북도 영천시 교촌동 336-2 최무선관,35.96797,128.92488
